ano,mes,instituto_pesquisa,contratante_pesquisa_original,data_inicio_pesquisa,data_fim_pesquisa,tamanho_amostra,margem_erro,cenario_id,nome_candidato,partido,percentual,percentual_numero,outros,indecisos_absentos,fonte_titulo,fonte_url,fonte_website,fonte_data_publicacao,fonte_data_acesso,linha_original_wikitext,observacoes_extracao
2018,Fevereiro,#PESQUISA365,#PESQUISA365 [BR-05162/2018],2,7 de fevereiro de 2018,2.000,"2,2",cenario_2,Wagner,PT,"2,2%",2.2,"5,0%","50,7%",,http://www.pesquisa365.com.br/eleicoes2018/1-pesquisa-nacional-fevereiro.pdf,,,,"2,2%<br /><small>([[Jaques Wagner|Wagner]])</small>",
2018,Fevereiro,#PESQUISA365,#PESQUISA365 [BR-05162/2018],2,7 de fevereiro de 2018,2.000,"2,2",cenario_2,Gomes,PDT,"10,1%",10.1,"5,0%","50,7%",,http://www.pesquisa365.com.br/eleicoes2018/1-pesquisa-nacional-fevereiro.pdf,,,,"10,1%<br /><small>(Gomes)</small>",
2018,Fevereiro,#PESQUISA365,#PESQUISA365 [BR-05162/2018],2,7 de fevereiro de 2018,2.000,"2,2",cenario_2,,PSB,,,"5,0%","50,7%",,http://www.pesquisa365.com.br/eleicoes2018/1-pesquisa-nacional-fevereiro.pdf,,,,–,
2018,Fevereiro,#PESQUISA365,#PESQUISA365 [BR-05162/2018],2,7 de fevereiro de 2018,2.000,"2,2",cenario_2,Silva,REDE,"10,4%",10.4,"5,0%","50,7%",,http://www.pesquisa365.com.br/eleicoes2018/1-pesquisa-nacional-fevereiro.pdf,,,,"'''10,4%'''<br /><small>(Silva)</small>",
2018,Fevereiro,#PESQUISA365,#PESQUISA365 [BR-05162/2018],2,7 de fevereiro de 2018,2.000,"2,2",cenario_2,Meirelles,MDB,"0,6%",0.6,"5,0%","50,7%",,http://www.pesquisa365.com.br/eleicoes2018/1-pesquisa-nacional-fevereiro.pdf,,,,"0,6%<br /><small>(Meirelles)</small>",
2018,Fevereiro,#PESQUISA365,#PESQUISA365 [BR-05162/2018],2,7 de fevereiro de 2018,2.000,"2,2",cenario_2,Dias,PODE,"3,4%",3.4,"5,0%","50,7%",,http://www.pesquisa365.com.br/eleicoes2018/1-pesquisa-nacional-fevereiro.pdf,,,,"3,4%<br /><small>(Dias)</small>",
2018,Fevereiro,#PESQUISA365,#PESQUISA365 [BR-05162/2018],2,7 de fevereiro de 2018,2.000,"2,2",cenario_2,Virgílio,PSDB,"1,1%",1.1,"5,0%","50,7%",,http://www.pesquisa365.com.br/eleicoes2018/1-pesquisa-nacional-fevereiro.pdf,,,,"1,1%<br /><small>([[Arthur Virgílio Neto|Virgílio]])</small>",
2018,Fevereiro,#PESQUISA365,#PESQUISA365 [BR-05162/2018],2,7 de fevereiro de 2018,2.000,"2,2",cenario_2,Amoêdo,NOVO,"0,1%",0.1,"5,0%","50,7%",,http://www.pesquisa365.com.br/eleicoes2018/1-pesquisa-nacional-fevereiro.pdf,,,,"0,1%<br /><small>(Amoêdo)</small>",
2018,Fevereiro,#PESQUISA365,#PESQUISA365 [BR-05162/2018],2,7 de fevereiro de 2018,2.000,"2,2",cenario_2,Bolsonaro,PSL,"17,0%",17.0,"5,0%","50,7%",,http://www.pesquisa365.com.br/eleicoes2018/1-pesquisa-nacional-fevereiro.pdf,,,,"style=""background:#FeFFE3"" |'''17,0%'''<br /><small>(Bolsonaro)</small>",
2018,Janeiro,Datafolha,Datafolha [BR-05351/2018],29,30 de janeiro de 2018,2.826,2,cenario_1,Lula,PT,34%,34.0,8%,15%,,http://media.folha.uol.com.br/datafolha/2018/01/31/62d85b7b11e52c8fccbb96bcd5ca71b9.pdf,,,,"rowspan=""2"" style=""background:#FFE3E3"" |'''34%'''<small><br />(Lula)</small>",linha_adicional: Temer = 1%
2018,Janeiro,Datafolha,Datafolha [BR-05351/2018],29,30 de janeiro de 2018,2.826,2,cenario_1,Gomes,PDT,6%,6.0,8%,15%,,http://media.folha.uol.com.br/datafolha/2018/01/31/62d85b7b11e52c8fccbb96bcd5ca71b9.pdf,,,,"rowspan=""2"" |6%<br /><small>(Gomes)</small>",linha_adicional: Temer = 1%
2018,Janeiro,Datafolha,Datafolha [BR-05351/2018],29,30 de janeiro de 2018,2.826,2,cenario_1,Barbosa,PSB,3%,3.0,8%,15%,,http://media.folha.uol.com.br/datafolha/2018/01/31/62d85b7b11e52c8fccbb96bcd5ca71b9.pdf,,,,"rowspan=""2"" |3%<br /><small>([[Joaquim Barbosa|Barbosa]])</small>",linha_adicional: Temer = 1%
2018,Janeiro,Datafolha,Datafolha [BR-05351/2018],29,30 de janeiro de 2018,2.826,2,cenario_1,Silva,REDE,7%,7.0,8%,15%,,http://media.folha.uol.com.br/datafolha/2018/01/31/62d85b7b11e52c8fccbb96bcd5ca71b9.pdf,,,,"rowspan=""2"" |7%<br /><small>(Silva)</small>",linha_adicional: Temer = 1%
2018,Janeiro,Datafolha,Datafolha [BR-05351/2018],29,30 de janeiro de 2018,2.826,2,cenario_1,Meirelles,MDB,1%,1.0,8%,15%,,http://media.folha.uol.com.br/datafolha/2018/01/31/62d85b7b11e52c8fccbb96bcd5ca71b9.pdf,,,,1%<br /><small>(Meirelles)</small>,linha_adicional: Temer = 1%
2018,Janeiro,Datafolha,Datafolha [BR-05351/2018],29,30 de janeiro de 2018,2.826,2,cenario_1,Dias,PODE,3%,3.0,8%,15%,,http://media.folha.uol.com.br/datafolha/2018/01/31/62d85b7b11e52c8fccbb96bcd5ca71b9.pdf,,,,"rowspan=""2"" |3%<br /><small>(Dias)</small>",linha_adicional: Temer = 1%
2018,Janeiro,Datafolha,Datafolha [BR-05351/2018],29,30 de janeiro de 2018,2.826,2,cenario_1,Alckmin,PSDB,6%,6.0,8%,15%,,http://media.folha.uol.com.br/datafolha/2018/01/31/62d85b7b11e52c8fccbb96bcd5ca71b9.pdf,,,,"rowspan=""2"" |6%<br /><small>(Alckmin)</small>",linha_adicional: Temer = 1%
2018,Janeiro,Datafolha,Datafolha [BR-05351/2018],29,30 de janeiro de 2018,2.826,2,cenario_1,Amoêdo,NOVO,0%,0.0,8%,15%,,http://media.folha.uol.com.br/datafolha/2018/01/31/62d85b7b11e52c8fccbb96bcd5ca71b9.pdf,,,,"rowspan=""2"" |0%<br /><small>(Amoêdo)</small>",linha_adicional: Temer = 1%
2018,Janeiro,Datafolha,Datafolha [BR-05351/2018],29,30 de janeiro de 2018,2.826,2,cenario_1,Bolsonaro,PSL,15%,15.0,8%,15%,,http://media.folha.uol.com.br/datafolha/2018/01/31/62d85b7b11e52c8fccbb96bcd5ca71b9.pdf,,,,"rowspan=""2"" |'''15%'''<br /><small>(Bolsonaro)</small>",linha_adicional: Temer = 1%
2018,Janeiro,Datafolha,Datafolha [BR-05351/2018],29,30 de janeiro de 2018,2.826,2,cenario_2,Lula,PT,34%,34.0,9%,16%,,http://media.folha.uol.com.br/datafolha/2018/01/31/62d85b7b11e52c8fccbb96bcd5ca71b9.pdf,,,,"style=""background:#FFE3E3"" |'''34%'''<small><br />(Lula)</small>",
2018,Janeiro,Datafolha,Datafolha [BR-05351/2018],29,30 de janeiro de 2018,2.826,2,cenario_2,Gomes,PDT,6%,6.0,9%,16%,,http://media.folha.uol.com.br/datafolha/2018/01/31/62d85b7b11e52c8fccbb96bcd5ca71b9.pdf,,,,6%<br /><small>(Gomes)</small>,
2018,Janeiro,Datafolha,Datafolha [BR-05351/2018],29,30 de janeiro de 2018,2.826,2,cenario_2,,PSB,,,9%,16%,,http://media.folha.uol.com.br/datafolha/2018/01/31/62d85b7b11e52c8fccbb96bcd5ca71b9.pdf,,,,–,
2018,Janeiro,Datafolha,Datafolha [BR-05351/2018],29,30 de janeiro de 2018,2.826,2,cenario_2,Silva,REDE,8%,8.0,9%,16%,,http://media.folha.uol.com.br/datafolha/2018/01/31/62d85b7b11e52c8fccbb96bcd5ca71b9.pdf,,,,8%<br /><small>(Silva)</small>,
