date,election_year,term,interest_raw,interest_scaled,geo,timeframe,source,batch_id,anchor_term,is_anchor,is_partial,collected_at
2018-01-14,2018,João Goulart Filho,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-01-21,2018,João Goulart Filho,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-01-28,2018,João Goulart Filho,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-02-04,2018,João Goulart Filho,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-02-11,2018,João Goulart Filho,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-02-18,2018,João Goulart Filho,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-02-25,2018,João Goulart Filho,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-03-04,2018,João Goulart Filho,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-03-11,2018,João Goulart Filho,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-03-18,2018,João Goulart Filho,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-03-25,2018,João Goulart Filho,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-04-01,2018,João Goulart Filho,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-04-08,2018,João Goulart Filho,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-04-15,2018,João Goulart Filho,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_03,Jair Bolsonaro,False,False,2026-06-18T18:37:07
